ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-08-29,3.4093681146200896,3.42510657396007,3.796580416586938,3.4093681146200896,3.4093681146200896,0.20766780837300544,0.20766780837300544,0.20766780837300544,0.20766780837300544,0.20766780837300544,0.20766780837300544,0.0,0.0,0.0,3.617035922993095
2022-09-05,3.416850523997899,3.4310648851521326,3.791435133577402,3.416850523997899,3.416850523997899,0.19344776769286998,0.19344776769286998,0.19344776769286998,0.19344776769286998,0.19344776769286998,0.19344776769286998,0.0,0.0,0.0,3.610298291690769
2022-09-12,3.424332933375709,3.4283521168367397,3.784285275517202,3.424332933375709,3.424332933375709,0.1819197019680939,0.1819197019680939,0.1819197019680939,0.1819197019680939,0.1819197019680939,0.1819197019680939,0.0,0.0,0.0,3.606252635343803
2022-09-19,3.4318153427535183,3.4286256523619594,3.7880157068831646,3.4318153427535183,3.4318153427535183,0.18225698098545412,0.18225698098545412,0.18225698098545412,0.18225698098545412,0.18225698098545412,0.18225698098545412,0.0,0.0,0.0,3.6140723237389722
2022-09-26,3.4392977521313277,3.450046184540066,3.795793853560053,3.4392977521313277,3.4392977521313277,0.18647598518309697,0.18647598518309697,0.18647598518309697,0.18647598518309697,0.18647598518309697,0.18647598518309697,0.0,0.0,0.0,3.6257737373144248
2022-10-03,3.446780161509138,3.4497270620580123,3.797184790167667,3.446780161509138,3.446780161509138,0.18162228376155654,0.18162228376155654,0.18162228376155654,0.18162228376155654,0.18162228376155654,0.18162228376155654,0.0,0.0,0.0,3.6284024452706944
2022-10-10,3.45473406939441,3.43992087035411,3.802186455796281,3.45473406939441,3.45473406939441,0.16737859354097617,0.16737859354097617,0.16737859354097617,0.16737859354097617,0.16737859354097617,0.16737859354097617,0.0,0.0,0.0,3.622112662935386
2022-10-17,3.4626879772796824,3.437051594860064,3.8087915461238926,3.4626879772796824,3.4626879772796824,0.15682178421812962,0.15682178421812962,0.15682178421812962,0.15682178421812962,0.15682178421812962,0.15682178421812962,0.0,0.0,0.0,3.619509761497812
2022-10-24,3.4706418851649548,3.454906063829137,3.7984518852783693,3.4706418851649548,3.4706418851649548,0.159415174848599,0.159415174848599,0.159415174848599,0.159415174848599,0.159415174848599,0.159415174848599,0.0,0.0,0.0,3.6300570600135535
2022-10-31,3.4785957930502267,3.454485711530767,3.8317566951409807,3.4785957930502267,3.4785957930502267,0.16721107822977063,0.16721107822977063,0.16721107822977063,0.16721107822977063,0.16721107822977063,0.16721107822977063,0.0,0.0,0.0,3.6458068712799974
